iter	RMSE
0	0.9620743316
1	0.9316754693
2	0.9035123876
3	0.8778466935
4	0.85640163
5	0.8367350163
6	0.8185025034
7	0.8027487629
8	0.7882711398
9	0.7751486765
10	0.7639042895
11	0.7534427484
12	0.7439600279
13	0.73559871
14	0.7281637005
15	0.721636515
16	0.7155865476
17	0.7102877662
18	0.7054822993
19	0.7006035602
20	0.6969375216
21	0.6930457008
22	0.6893343131
23	0.6864287099
24	0.6836592709
25	0.6810709927
26	0.6789156058
27	0.6760578913
28	0.6731784772
29	0.6711599657
30	0.6691715104
31	0.6669842787
32	0.6650452452
33	0.6633643886
34	0.6618445479
35	0.6604204301
36	0.6592004598
37	0.6579050459
38	0.6562696306
39	0.6548893925
40	0.653207052
41	0.6523204156
42	0.6510936284
43	0.6495404073
44	0.648549641
45	0.6477901727
46	0.6462754755
47	0.6452761879
48	0.644603644
49	0.6438970249
50	0.6431280709
51	0.6423567597
52	0.6416826914
53	0.6410071953
54	0.6403419328
55	0.6394613545
56	0.6385600856
57	0.6379219248
58	0.6372917418
59	0.6364554242
60	0.6356377314
61	0.6348887221
62	0.6343026114
63	0.6342058013
64	0.6336080293
65	0.6328482737
66	0.6320883024
67	0.6315862938
68	0.630933493
69	0.6303777666
70	0.6299449809
71	0.6293210922
72	0.6290173486
73	0.6284081444
74	0.6279349981
75	0.6278794866
76	0.6273637571
77	0.6268658788
78	0.626784815
79	0.6262632428
80	0.625933346
81	0.6253686222
82	0.6250945307
83	0.6247590744
84	0.6243628398
85	0.6239985846
86	0.6235624141
87	0.6230780656
88	0.6226419629
89	0.6222926065
90	0.6216814113
91	0.6213278145
92	0.6209599332
93	0.6205951089
94	0.6205250273
95	0.6201972356
96	0.6199404734
97	0.6195931013
98	0.6192306725
99	0.6188386685
100	0.6187310192
101	0.6186357969
102	0.618321484
103	0.618275089
104	0.6178784126
105	0.6174565652
106	0.6171518207
107	0.6167868883
108	0.6165019897
109	0.6162120522
110	0.615907605
111	0.6156132971
112	0.6153253284
113	0.6152365642
114	0.6148888581
115	0.6146793504
116	0.6146228133
117	0.614391507
118	0.6143301051
119	0.6142768019
120	0.6142228824
121	0.6138539364
122	0.6134742347
123	0.6132238937
124	0.613170344
125	0.6128804248
126	0.6124364224
127	0.6123806021
128	0.6121666538
129	0.6117569921
130	0.6114693685
131	0.6112196163
132	0.6109541191
133	0.6105456977
134	0.6102879956
135	0.6102252149
136	0.6099991962
137	0.6097591667
138	0.6095192039
139	0.6094504954
140	0.609237124
141	0.608723876
142	0.608436666
143	0.6081435351
144	0.6080753387
145	0.6079960899
146	0.6075857145
147	0.6075169044
148	0.6071919
149	0.6068585259
150	0.6067908618
151	0.6064130952
152	0.6059697127
153	0.6055958039
154	0.6052070121
155	0.6051371817
156	0.6047844796
157	0.6044867284
158	0.6044210675
159	0.6040663474
160	0.6036741494
161	0.6032509924
162	0.6029065788
163	0.60263757
164	0.6023898159
165	0.6023223663
166	0.6020438692
167	0.6017568697
168	0.6014710194
169	0.6014018916
170	0.6013348581
171	0.6010468296
172	0.6007942804
173	0.6007304657
174	0.6002904687
175	0.6000829791
176	0.5997335076
177	0.5996684896
178	0.5993472087
179	0.5990123806
180	0.5987474074
181	0.5984024335
182	0.5982301258
183	0.5979666755
184	0.5976410824
185	0.5973918611
186	0.5970986039
187	0.5970399444
188	0.5967800824
189	0.5965261684
190	0.596258991
191	0.5960334225
192	0.5958200744
193	0.5957587847
194	0.5955492531
195	0.5953793729
196	0.595168216
197	0.5951099825
198	0.5946986953
199	0.5943669058
200	0.5941567697
