iter	Passed	Remaining
0	133	133588
1	255	127265
2	400	132967
3	604	150419
4	805	160276
5	998	165496
6	1190	168826
7	1342	166445
8	1477	162697
9	1615	159936
10	1746	157011
11	1874	154347
12	2008	152477
13	2134	150351
14	2266	148834
15	2391	147052
16	2571	148707
17	2727	148817
18	2886	149030
19	3034	148693
20	3193	148878
21	3338	148419
22	3515	149328
23	3673	149387
24	3827	149279
25	3980	149119
26	4162	150006
27	4326	150183
28	4537	151923
29	4714	152427
30	4899	153141
31	5073	153487
32	5271	154468
33	5428	154225
34	5601	154454
35	5757	154186
36	5918	154037
37	6061	153454
38	6214	153131
39	6364	152745
40	6540	152974
41	6693	152677
42	6852	152518
43	7001	152127
44	7156	151875
45	7314	151695
46	7597	154052
47	7793	154564
48	7997	155224
49	8197	155745
50	8353	155442
51	8511	155177
52	8705	155552
53	8847	154987
54	8984	154376
55	9108	153541
56	9240	152878
57	9359	152015
58	9502	151560
59	9629	150861
60	9759	150224
61	9884	149536
62	10017	148995
63	10135	148230
64	10264	147655
65	10392	147073
66	10563	147094
67	10691	146536
68	10852	146430
69	11026	146494
70	11169	146141
71	11295	145582
72	11422	145056
73	11578	144886
74	11708	144409
75	11828	143804
76	11955	143307
77	12074	142728
78	12195	142182
79	12320	141689
80	12481	141614
81	12607	141142
82	12734	140695
83	12860	140242
84	12989	139828
85	13107	139306
86	13236	138911
87	13355	138412
88	13503	138220
89	13636	137878
90	13777	137622
91	13901	137200
92	14027	136810
93	14149	136373
94	14316	136380
95	14481	136368
96	14651	136390
97	14811	136326
98	14976	136298
99	15127	136147
100	15304	136220
101	15486	136346
102	15623	136059
103	15753	135724
104	15878	135343
105	16034	135237
106	16162	134890
107	16293	134572
108	16410	134142
109	16559	133979
110	16677	133567
111	16808	133270
112	16933	132919
113	17066	132640
114	17220	132523
115	17376	132420
116	17526	132270
117	17664	132037
118	17821	131935
119	17953	131656
120	18090	131417
121	18241	131276
122	18394	131154
123	18578	131249
124	18709	130963
125	18869	130885
126	18994	130569
127	19121	130262
128	19242	129926
129	19380	129703
130	19514	129450
131	19641	129158
132	19758	128804
133	19892	128559
134	20013	128231
135	20165	128109
136	20296	127852
137	20438	127668
138	20560	127356
139	20680	127036
140	20811	126786
141	20948	126578
142	21068	126263
143	21193	125983
144	21309	125651
145	21456	125507
146	21577	125211
147	21704	124946
148	21830	124683
149	21959	124436
150	22075	124121
151	22206	123887
152	22333	123636
153	22485	123526
154	22609	123256
155	22729	122973
156	22866	122782
157	22995	122546
158	23111	122245
159	23246	122041
160	23380	121837
161	23520	121667
162	23637	121375
163	23765	121144
164	23885	120873
165	24006	120608
166	24125	120337
167	24249	120090
168	24377	119868
169	24509	119666
170	24624	119378
171	24752	119155
172	24873	118904
173	24995	118656
174	25116	118405
175	25241	118177
176	25387	118045
177	25526	117880
178	25659	117691
179	25809	117576
180	25941	117383
181	26092	117271
182	26218	117050
183	26363	116915
184	26510	116787
185	26647	116620
186	26785	116453
187	26920	116271
188	27048	116064
189	27184	115890
190	27326	115743
191	27478	115639
192	27607	115436
193	27735	115232
194	27853	114985
195	27977	114766
196	28113	114593
197	28245	114409
198	28384	114252
199	28514	114056
200	28631	113815
201	28765	113638
202	28881	113390
203	29002	113168
204	29119	112928
205	29251	112746
206	29397	112619
207	29534	112457
208	29651	112222
209	29782	112039
210	29900	111809
211	30024	111601
212	30143	111375
213	30268	111172
214	30415	111050
215	30543	110860
216	30668	110660
217	30810	110522
218	30925	110286
219	31051	110092
220	31166	109858
221	31294	109673
222	31434	109526
223	31564	109348
224	31684	109135
225	31812	108950
226	31929	108729
227	32063	108565
228	32182	108353
229	32306	108156
230	32439	107992
231	32566	107807
232	32686	107600
233	32816	107425
234	32930	107199
235	33054	107007
236	33181	106823
237	33309	106647
238	33438	106470
239	33564	106289
240	33688	106099
241	33815	105919
242	33932	105708
243	34057	105522
244	34181	105335
245	34314	105174
246	34444	105007
247	34568	104821
248	34687	104620
249	34829	104488
250	34949	104292
251	35070	104099
252	35193	103912
253	35335	103779
254	35463	103610
255	35590	103435
256	35713	103248
257	35842	103080
258	35962	102888
259	36088	102712
260	36203	102507
261	36342	102367
262	36465	102187
263	36592	102014
264	36725	101860
265	36857	101704
266	36981	101525
267	37106	101350
268	37231	101175
269	37378	101059
270	37492	100857
271	37619	100688
272	37742	100509
273	37873	100351
274	37991	100158
275	38121	100000
276	38258	99857
277	38403	99739
278	38520	99545
279	38641	99362
280	38779	99225
281	38907	99061
282	39027	98879
283	39153	98710
284	39286	98560
285	39424	98422
286	39544	98240
287	39670	98074
288	39793	97901
289	39925	97748
290	40042	97560
291	40163	97381
292	40298	97239
293	40427	97081
294	40544	96894
295	40673	96735
296	40802	96579
297	40930	96419
298	41049	96239
299	41176	96078
300	41306	95925
301	41431	95759
302	41548	95574
303	41676	95416
304	41798	95245
305	41921	95075
306	42039	94897
307	42166	94738
308	42302	94599
309	42429	94440
310	42545	94256
311	42681	94118
312	42799	93940
313	42926	93781
314	43045	93607
315	43172	93449
316	43310	93315
317	43434	93151
318	43549	92968
319	43677	92814
320	43794	92637
321	43917	92471
322	44035	92297
323	44161	92139
324	44294	91996
325	44422	91843
326	44541	91671
327	44670	91519
328	44786	91342
329	44908	91178
330	45026	91004
331	45149	90842
332	45296	90728
333	45428	90584
334	45546	90412
335	45671	90255
336	45784	90075
337	45905	89909
338	46021	89735
339	46143	89572
340	46285	89448
341	46419	89309
342	46547	89159
343	46681	89020
344	46806	88863
345	46931	88709
346	47070	88578
347	47227	88484
348	47363	88347
349	47489	88195
350	47613	88037
351	47744	87893
352	47858	87717
353	47984	87565
354	48102	87396
355	48259	87301
356	48385	87147
357	48511	86996
358	48633	86835
359	48757	86679
360	48873	86510
361	48997	86355
362	49122	86200
363	49270	86087
364	49401	85945
365	49533	85803
366	49663	85660
367	49794	85516
368	49910	85347
369	50056	85231
370	50190	85093
371	50341	84985
372	50482	84859
373	50632	84747
374	50771	84619
375	50913	84494
376	51077	84407
377	51233	84305
378	51375	84180
379	51523	84064
380	51662	83935
381	51804	83809
382	51937	83670
383	52080	83546
384	52232	83435
385	52378	83317
386	52526	83200
387	52688	83106
388	52830	82981
389	52982	82870
390	53128	82750
391	53282	82642
392	53426	82518
393	53575	82402
394	53715	82273
395	53868	82163
396	54010	82035
397	54162	81923
398	54337	81846
399	54504	81757
400	54684	81685
401	54871	81625
402	55039	81534
403	55230	81479
404	55421	81421
405	55592	81334
406	55780	81272
407	55974	81217
408	56179	81178
409	56362	81107
410	56563	81060
411	56746	80987
412	56908	80884
413	57081	80796
414	57268	80727
415	57444	80642
416	57613	80547
417	57778	80448
418	57936	80336
419	58088	80217
420	58267	80135
421	58419	80014
422	58594	79926
423	58755	79818
424	58911	79703
425	59060	79579
426	59223	79472
427	59374	79350
428	59532	79237
429	59675	79104
430	59827	78982
431	59964	78841
432	60186	78812
433	60383	78749
434	60617	78733
435	60820	78675
436	61029	78626
437	61193	78517
438	61349	78398
439	61501	78274
440	61652	78148
441	61798	78017
442	61949	77891
443	62096	77760
444	62262	77652
445	62408	77521
446	62567	77404
447	62708	77266
448	62856	77135
449	63004	77005
450	63174	76901
451	63324	76773
452	63483	76657
453	63630	76524
454	63785	76402
455	63934	76272
456	64099	76162
457	64252	76037
458	64405	75911
459	64556	75783
460	64715	75664
461	64873	75545
462	65039	75434
463	65208	75327
464	65389	75232
465	65555	75121
466	65742	75033
467	65911	74924
468	66092	74830
469	66267	74727
470	66467	74652
471	66649	74556
472	66818	74447
473	66982	74330
474	67159	74228
475	67334	74124
476	67491	74000
477	67641	73868
478	67798	73743
479	67946	73609
480	68130	73512
481	68292	73393
482	68461	73280
483	68617	73154
484	68772	73026
485	68915	72885
486	69060	72747
487	69225	72629
488	69378	72499
489	69525	72362
490	69671	72225
491	69815	72085
492	69963	71950
493	70118	71822
494	70271	71691
495	70412	71548
496	70572	71424
497	70713	71281
498	70866	71150
499	71010	71010
500	71172	70888
501	71321	70752
502	71475	70622
503	71626	70489
504	71780	70359
505	71924	70219
506	72096	70105
507	72251	69976
508	72402	69842
509	72553	69708
510	72710	69580
511	72851	69436
512	72997	69298
513	73150	69166
514	73304	69034
515	73452	68897
516	73606	68766
517	73753	68627
518	73901	68490
519	74054	68357
520	74209	68226
521	74355	68088
522	74503	67950
523	74643	67805
524	74792	67669
525	74936	67528
526	75143	67444
527	75314	67326
528	75487	67211
529	75667	67101
530	75844	66989
531	76024	66878
532	76182	66748
533	76334	66613
534	76489	66481
535	76638	66343
536	76780	66200
537	76931	66064
538	77097	65940
539	77249	65805
540	77405	65672
541	77558	65538
542	77704	65397
543	77854	65260
544	78001	65120
545	78186	65012
546	78343	64880
547	78510	64756
548	78660	64619
549	78805	64477
550	78946	64331
551	79107	64203
552	79267	64072
553	79421	63938
554	79565	63795
555	79706	63650
556	79842	63501
557	79983	63356
558	80132	63217
559	80274	63072
560	80413	62925
561	80561	62786
562	80694	62634
563	80835	62490
564	80974	62343
565	81134	62212
566	81279	62070
567	81422	61927
568	81557	61777
569	81699	61632
570	81829	61479
571	81985	61345
572	82141	61211
573	82291	61073
574	82433	60929
575	82590	60795
576	82731	60650
577	82880	60511
578	83026	60369
579	83188	60239
580	83334	60098
581	83483	59958
582	83619	59809
583	83759	59664
584	83892	59513
585	84049	59379
586	84234	59265
587	84380	59123
588	84531	58985
589	84719	58872
590	84895	58751
591	85121	58664
592	85313	58554
593	85503	58441
594	85698	58332
595	85891	58221
596	86116	58132
597	86303	58016
598	86512	57915
599	86706	57804
600	86898	57691
601	87103	57586
602	87289	57469
603	87487	57359
604	87685	57248
605	87881	57137
606	88051	57008
607	88207	56870
608	88355	56727
609	88542	56608
610	88679	56458
611	88826	56314
612	88973	56170
613	89135	56036
614	89308	55908
615	89478	55778
616	89633	55639
617	89774	55491
618	89924	55349
619	90088	55215
620	90240	55074
621	90385	54928
